노드ID,노드명,노드유형코드,노드유형명,회전제한유무,회전제한유무명,X좌표,Y좌표,TM_X좌표,TM_Y좌표
1020032700,한남로삼거리,101,도로교차점,0,무,127.0029448,37.5467593,200260.2299,449693.8275
1020032800,구립용산노인전문요양원,101,도로교차점,0,무,126.9615397,37.5468428,196601.2532,449703.7851
1020032900,버티고개삼거리,101,도로교차점,0,무,127.0026105,37.5468689,200230.6906,449705.987
1020033000,버티고개삼거리,101,도로교차점,0,무,127.0031532,37.546994,200278.6465,449719.8777
1020033100,용산구-마포구경계(3),101,도로교차점,1,유,126.9606623,37.5472954,196523.7443,449754.0454
1020033200,버티고개삼거리,101,도로교차점,0,무,127.0025731,37.5470328,200227.3833,449724.1771
1020033300,다산로거리,101,도로교차점,1,유,127.0041226,37.5475583,200364.3072,449782.5038
1020033400,버티고개삼거리,101,도로교차점,0,무,127.0030417,37.547379,200268.7924,449762.6071
1020033500,용산구-중구경계(1),105,행정경계,0,무,127.0054073,37.5477175,200477.8356,449800.1802
1020033600,장춘단길거리,101,도로교차점,0,무,127.0018991,37.5480255,200167.8214,449834.3553
1020033700,청파동삼거리,101,도로교차점,1,유,126.970067,37.5482662,197354.8662,449861.4876
1020033800,용산구-중구경계(5),105,행정경계,0,무,126.9942308,37.5483279,199490.185,449867.9292
1020033900,용산구-중구경계(4),105,행정경계,0,무,126.9972737,37.5488111,199759.0784,449921.5454
1020034000,청파1로-한강로진입로,101,도로교차점,0,무,126.9717419,37.5489912,197502.8984,449941.9081
1020034200,항강로-청파1로진출로,101,도로교차점,0,무,126.9717635,37.5496323,197504.8288,450013.0639
1020034300,용산구-중구경계(2),105,행정경계,0,무,126.9996839,37.5498725,199972.0711,450039.3425
1020034400,용산구-중구경계(3),105,행정경계,0,무,126.9985265,37.5499055,199869.79,450043.0114
1020034500,후암시장,101,도로교차점,0,무,126.9773229,37.5502315,197996.113,450079.4314
1020034600,동자노인정,101,도로교차점,1,유,126.974015,37.5503573,197703.8084,450093.4698
1020034700,동자주유소,101,도로교차점,1,유,126.9719925,37.5503635,197525.0863,450094.2156
1020034800,용산구-마포구경계(1),105,행정경계,1,유,126.9622886,37.5514151,196667.6427,450211.2288
1020034900,만리시장,101,도로교차점,1,유,126.9629712,37.5519324,196727.9811,450268.6161
1020035000,남산도서관,101,도로교차점,1,유,126.982079,37.5521355,198416.4309,450290.6619
1020035100,용산구-중구경계(6),105,행정경계,0,무,126.9843952,37.5527232,198621.113,450355.8554
1020035200,안중근의사기념관,101,도로교차점,1,유,126.9792894,37.5529371,198169.9512,450379.6878
1020035300,용산구-중구경계(7),105,행정경계,0,무,126.9793682,37.5533384,198176.9182,450424.2205
1020035400,동자로터리_한강로_진출,101,도로교차점,0,무,126.9727593,37.5532167,197592.9386,450410.8677
1020035500,벽산빌딩,101,도로교차점,1,유,126.9740866,37.5537319,197710.2378,450468.0147
1020035600,동자로터리_후암동길_진입,101,도로교차점,0,무,126.9737199,37.553838,197677.8404,450479.7945
1020035800,남산빌딩,101,도로교차점,0,무,126.978813,37.5540265,198127.8823,450500.6026
1020035900,공덕1동사무소,101,도로교차점,0,무,126.9657279,37.5541467,196971.6628,450514.2822
1020036000,소화아동병원,101,도로교차점,1,유,126.9690306,37.5543514,197263.4988,450536.9041
1020036100,서울역고가차도(서측)_2,101,도로교차점,0,무,126.9675625,37.5547631,197133.7914,450582.6439
1020036300,서부역_청파로_진입,101,도로교차점,0,무,126.9689579,37.5549697,197257.102,450605.5289
1020036600,서부역_만리재길_진출,101,도로교차점,0,무,126.9682247,37.5552022,197192.3258,450631.3605
1020036800,도동삼거리,101,도로교차점,1,유,126.9766171,37.5552108,197933.8828,450632.0942
1020036900,서울역서부,101,도로교차점,0,무,126.9691142,37.5561972,197270.9536,450741.7656
